Thiết bị,Khoa phòng,Đề xuất/ Số hợp đồng
01 Máy siêu âm Voluson S8t,CĐHA,05062023HĐMBTAHCM-VT
01 Máy soi veinn,Khám bệnh,102024MDC-BVĐKTA
01 Máy sốc TEC-5621,CĐHA,
01 Máy theo dõi độ bão hòa oxy trong máu,Khám bệnh,09524TL-TAQ7
01 Máy theo dõi độ bão hòa oxy trong máu spo2 (loại cầm tay),Khám bệnh-Khoa Nhi,08624TL-TAQ7
01 Máy điều trị da bằng laser sóng kép,Khám bệnh-Da liễu,HĐVC24-143ES-BVTA (đang ở Tân Bình)
01 Máy đo SP02,CĐHA,24070120
01 Máy đo SpO2 PO30,CĐHA,HD 831C24TPV
01 Mô hình hàm mẫu hàm,Khám bệnh-RHM,56 NKHĐMB2024
01 Nhiệt ẩm kế điện tử HTC-2,Cấp cứu,24090585
"01 Phun khí dung NE-C28, 06 ống nghe y khoa",Cấp cứu,2006.RM-TA (Khám bệnh điều chuyển cho cấp cứu)
"01 RO, 04 máy thận, 12 bảng kết nối nhanh",Cấp cứu-TNT,1605-2024HĐTTA Q7-AP
"01 Tay cầm đèn mổ treo trần 2 chóa, 02 remote điều khiển đèn",Cấp cứu-Thủ thuật,
"01 Thiết bị phun Nito lỏng, 02 ống chiết, 02 vòi xịt thẳng, 01 vòi xịt cong, 02 bộ đầu phun mở",Khám bệnh-Da liễu,
01 Tấm trượt chuyển bệnh Ecolite,Cấp cứu,101MĐ-BVTA2024
01 X-QUANG QUANH NHA KHOA,CĐHA,
01 Xe đạp và bảng điều khiển,Nội tiết-TTBP,18092024HDKTBVTAHCM
01 Xe đẩy Y dụng cụ Bailida,Khám bệnh-IVF,24080529
01 Xquang Sitec,CĐHA,04-092024ТАНСCM-GNT
01 bàn khám sản IVF,Khám bệnh-IVF,1.842024
01 bàn tiểu phẫu,KKB,Minh phú 2830.2024.HT-KA
01 bơm tiêm thuốc đối quang từ,CĐHA,HD-2400920
01 bơm tiêm điện Medrad Stellant D-CE,CĐHA,
"01 bơm tiêm điện, 01 regu oxy gắn tường, 01 vaccum gắn tường, 01 bình hút dịch 1500ml, 02 bình làm ẩm oxy",Cấp cứu-Daycare,24040334
01 bộ bao đo ngón chân TBI,Khám bệnh,24070622
01 cân sơ sinh kèm thước đo chiều cao,Khám bệnh,
01 cân tiểu ly ,NSTH,2411001
01 dao mổ điện,Cấp cứu,12.012024HDMBCMC-TA
01 dụng cụ đặt nội khí quản có camera Clearvue VL3R,Cấp cứu-Thủ thuật,121MĐ-BVTA2024
01 hệ thống soi khám bàn quang,Khám bệnh,0282024HĐMBTP-BVTAHCM
01 kính bảo vệ dùng cho máy Starwalker,Khám bệnh-Da liễu,HĐVC24-143ES-BVTA
01 kính hiển vi 2 mắt ,Xét nghiệm,073.2024
01 máy gây mê Aespire 7100,Cấp cứu-Thủ thuật,
01 máy hút dịch,Cấp cứu,HDD05.KD.134-24
01 máy in phim Trimax TX55,CĐHA,
01 máy làm ấm bệnh nhân 3M,Cấp cứu,2024-15HL-TASG3MHD
"01 máy phun khí dung NE-C28, 01 regu oxy gắn bình, 01 bình chứa dịch VB2L",Cấp cứu,24070121
01 máy scan phim nha khoa,CĐHA,2024.2810
01 máy sinh thiết chân không nhũ, Cho mượn - Thu hồi - 8-11,cty Gia Vũ
01 máy siêu âm Arietta 850,CĐHA,007HD-US3523
"01 máy thở TV-100, 01 máy ép tim CPR, 01 máy phun khí dung  Aerogen Pro-X",cấp cứu,046DMED-BVTANHHCM2024
01 máy xịt hơi lạnh Zimmer CRYO6,Khám bệnh-Da liễu,HĐVC24-143ES-BVTA
01 máy xịt hơi lạnh Zimmer CRYO6,Khám bệnh-Da liễu,HĐVC24-143ES-BVTA (2)
01 máy điều trị da bằng laser Q-switched,Khám bệnh-Da liễu,HĐVC24-143ES-BVTA
01 máy đo huyết áp tự động Omron Hem-8717,CĐHA,24070572
01 máy đo đường huyết Accu-chek guide,Cấp cứu,24110146
01 nhiệt kế hồng ngoại,Cấp cứu,24110448
01 nhiệt kế wifi,Nhà thuốc,24090327
01 siêu âm tổng quát cao cấp logiQ Fortis,CĐHA,05062023HĐMBTAHCM-VT
01 siêu âm tổng quát cao cấp logiQ Fortis,CĐHA,05062023HĐMBTAHCM-VT (2)
01 tay cầm đặt NKQ EasyClean,CĐHA,
01 Đèn gù di dộng,Khám bệnh,24090315
01 Đèn gù di động,Khám bệnh-IVF,24080529
01 Đèn khám cho bàn khám phụ khoa,Khám bệnh-Khám sản,
01 Đèn đọc phim X-quang 2 phim EV-750MT,Khám bệnh,24040245
01 đèn hồng ngoại, đề xuất 24120141,CTCH
01 đèn tẩy trắng ,Khám bệnh-RHM,122-NKHĐMB2024
01 ống soi đại tràng video EVIS X1,NSTH,140323. AKOVN
02 Bàn chuyên dùng trong y tế A99-5 (màu hồng),Khám bệnh-Khám sản,HĐ05.KD59 24
02 Bình nước dùng máy bơm CO2,NSTH,0723HĐBM-ETC
02 Bộ điều chỉnh lưu lượng Oxy gắn tường,CĐHA,24070120
02 Cân đo sức khỏe BSM 370,Khám bệnh-Mắt+Béo phì,24090082
02 Cân đo sức khỏe tự động Inbody BSM370,Khám bệnh,24090082
"02 HT NSTH CHẨN ĐOÁN UT SỚM LCI- BLI, 02 máy hút dịch cami 350, 02 máy bơm rửa kênh nước phụ, 02 máy bơm CO2, 01 máy cắt cao tần VIO-300D, 01 argon, 03 cắt đốt VIO-300S",NSTH,0623HĐBM-ETC
02 Kính lỗ che mắt,Khám bệnh-Nhãn khoa,24080620
02 Monitor sàng lọc 4 thông số V100,Khám bệnh-Tim mạch,Chưa có số
02 MÁY ĐIỀU TRỊ TỦY TÍCH HỢP,Khám bệnh-RHM,2024.2810.01ΤΑΜΑΝΗ
02 Máy chẩn đoán xơ vữa mạch máy VP-1000 plus,Khám bệnh-Tim mạch,06.112023TA-PV
"02 Máy cạo vôi răng, 01 Tra dầu bảo dưỡng ,01 tay khoan siêu tốc,02 tay khoan tốc độ chậm, 04 tay khoan siêu tốc, 04 khớp nối nhan, 10 mũi cạo",Khám bệnh-RHM,25624WH1P
02 Máy ghế nha khoa Hallim,Khám bệnh-RHM,05305-24HĐMB
"02 Máy holter kèm pm BTL, 7 máy holter điện tim",Khám bệnh-Tim mạch,24052024GM-BVĐKTA
02 Máy kiểm tra rò rỉ dây soi tự động,NSTH,1024HĐBM-ETC
02 Máy laser dùng trong da liễu,Khám bệnh-Da liễu,V15HCM-13052024ERADATAM ANH
02 Máy phân tích da A-one Standard,Khám bệnh-Da liễu,080524HĐKTTM-TA
02 Máy siêu âm Arietta 750 VE,CĐHA,007HD-US3523
02 Máy trám răng nha khoa 910860-1 Demi Plus,Khám bệnh-RHM,50-2024HĐMBVD-VL
02 Nhiệt kế điện tử kẹp nách,Khám bệnh,24110075
02 Thiết bị chăm sóc da đa năng,Khám bệnh-Da liễu,V15HCM-13052024ERADATAM ANH
02 Tấm trượt chuyển bệnh,CDHA,101MĐ-BVTA2024
02 Tủ an toàn sinh học,Xét nghiệm,240423HĐMBTA-BVTATPHCM
"02 UPS 6KVA, 10 Áo chì,10 Yếm chì",CDHA,
"02 UPS 6KVA, 10 áo chì, 10 yếm chì, 2 kính chì, 1 cáng, 2 xe lăn MRI, 1 bình cứu hảo, 1 giá treo truyền dịch, 1 tay dò kim loại",CĐHA,
02 UPS UPS MPT200 6P,CĐHA,22523TA-TH
02 Xe lưu trữ Y dụng cụ đa năng,Cấp cứu,24080193-CC-001
02 bàn khám phụ khoa,Khám bệnh-Khám sản,1.422024
02 bàn khám phụ khoa examline 740,Khám bệnh-Khám sản,
02 bàn tiểu phẫu SXD8802-B,Khám bệnh,2502024HT-KA
"02 bình oxy, 02 xe đẩy bình oxy, 02 regu oxy (cho mượn)",Cấp cứu,
"02 bình oxy, 02 xe, 02 regu oxy",CDHA,
"02 băng ca kèm nệm, cọc",NSTH,
"02 capture Ugreen, 02 cáp hdmi 5m, 02 đầu chuyển DVI HDMI",Cấp cứu,24040387
"02 chai khí, 02 xe đẩy CO2",Khám bệnh-Khám sản,24040222
"02 huyết áp cơ Yamasu, 02 HTC-2, 02 TH 600B",Khám bệnh,"24070120,24070039"
02 máy hút khói khử mùi,Khám bệnh-Da liễu,V15HCM-13052024ERADATAM ANH
02 máy siêu âm đàn hồi mô Fortis,CDHA,HD-2402988
02 máy soi cổ tử cung,Khám bệnh-Khám sản,220520241TA-MPT
"02 máy đo đường huyết, 09 đuôi chuột",CĐHA,"24080558, 24080535"
02 nhiệt kế ẩm điện tử HTC-2,Khám bệnh-Khám sản,24040222
"02 regu oxy, 02 bình làm ẩm",Cấp cứu-TNT,
02 siêu âm Fortis,CDHA, HD-2402240
02 thước kẹp đo lượng mỡ,TTBP-Nội tiết,24100118
02 tủ lạnh bảo quản 2 cánh HYC-1099,Xét nghiệm,06.2004HHHMBSmartTech-TamAnhQ7
02 tủ ấm memmert (In30),CĐHA,
02 xe lưu trữ y dụng cụ đa năng SC32PRO,CĐHA,
02 xe tiêm PY700D,Khám bệnh,24040245
02 xe đẩy monitor B125,CĐHA,
"02 Đèn NKQ người lớn, 02 đèn NKQ trẻ em",Cấp cứu,24040245
"02 Đèn mổ 2 chóa, 02 Bàn mổ",Cấp cứu- Thủ thuật,082023PA-BVTATPHCM
02 đèn led ánh sáng sinh học Celluma PRO,Khám bệnh-Da liễu,1HĐMB-24AP-TA
02 đèn đọc phim 4 cửa ZG-4C,Cấp cứu,022024PA-BVТАТРHСМ
02 đầu dò phụ khoa C41V1,CĐHA,120.V.027HĐKTIMED-TAMANH24
"02 đầu nối chuẩn DIS, 02 điều áp ren 13, 02 co nối ren 9 ra 13, 02 co nối ren 13 ống 8ly",NSTH,24040337
"03 Bơm tiêm điện, 10 Bơm truyền dịch, 20 Regu oxy, 05 regu Vaccum, 05 bình hút 1.5L, 03 máy thử đường huyết, 01 điện tim 6 cần",Cấp cứu,24040334
03 Cân sơ sinh kèm thước đo chiều cao MS3500-HM80M,Khám bệnh,24040245
03 Máy siêu âm LogiQ Fortis,CĐHA,"05062023HĐMBTAHCM-VT, HD-2402240"
03 Nhiệt ẩm kế điện tử HTC-2,Khám bệnh,24100564
03 Siêu âm LogiQ E10s,CĐHA,05062023HĐMBTAHCM-VT
"03 bộ NKQ người lớn, 03 bộ lưỡi khó",NSTH,24070279
03 máy làm ấm bệnh nhân 3M,Khám bệnh,2024-91HL-TASG3MHD
03 máy sốc tim TEC-5621,Khám bệnh,
"03 tủ mát, 03 tủ lạnh, 06 nhiệt kế wifi, 03 nhiệt ẩm kế logtag",Nhà thuốc,06.2024HĐMBSmartTech-TamAnh
03 Điện tim 12 cần,Khám bệnh-Tim mạch,58YS-BVTA2023
"03 Ống nghe Yamasu,01 máy do sp02,01 nhiệt kế hồng ngoại",Cấp cứu,
"04  Dây kết nối kẹp lưỡng cực, 04 kẹp lưỡng cực",Cấp cứu,24120142
04 Bàn ăn (Tân Bình cho mượn),Cấp cứu,
04 Hệ thống X-quang kỹ thuật số Sitec,CĐHA,03-052023TAHCM
04 Monitor B125M,Cấp cứu,2708TL-TA2024
04 Monitor theo dõi 4 thông số V100,Khám bệnh,1405TL-TA2024
04 Monitor theo dõi 4 thông số V100,Khám bệnh,PO.DM.1804TL-TA2024
04 UPS 3KVA,CDHA,05102024HĐ.TАНСМ
"04 bộ NKQ người lớn, 01 NKQ trẻ em",Khám bệnh,24040245
04 dao mổ điện cao tần,Khám bệnh,052024HDMBCMC-TA
04 monitor B125,TB-Q7, 
04 monitor theo dõi 5 thông số B125,CĐHA,
04 máy siêu âm Arietta 850,CĐHA,051.U.057HĐKTIMED-TAMANH24
"04 máy điện tim 6 kênh, bỏ 12 kênh, 1 bơm tiêm điện",Khám bệnh-Tim mạch,23100103
04 xe lăn,CSKH,24070522
04 đuôi chuột xanh,Cấp cứu,24080613
05 Dàn soi TMH,Khám bệnh-TMH,0212024HĐKTTP-BVTAHCM
05 Kính lỗ che mắt,Khám bệnh-Nhãn khoa,24090078
05 băng ca,CĐHA,1.712024
"05 băng ca kèm nệm, cọc",Q7-TB,
05 máy theo dõi huyết áp liên tục,Khám bệnh-Tim mạch,24052024GM-BVĐKTA
05 đèn đọc phim 4 cửa ZG-4C,CDHA,
"06 Máy theo dõi độ bão hòa oxy trong máu spo2 RAD-5V, 04 sensor dán sơ sinh",Khám bệnh,06224TL-TA
"06 Tủ mát bảo quản,01 tủ lạnh âm sâu",Xét nghiệm,130524HNC-TAHĐMB
06 bộ nguồn cấp liên tục Salicru,Nhà thuốc,
"06 hệ thống nội soi dạ dày, đại tràng",NSTH,140323. AKOVN
"06 monitor sản, 06 doppler, 03 đầu dò tim thai",Khám bệnh-Khám sản,112024TC-BVTAHCM
"06 mũi cạo vôi dưới nướu, 10 dụng tụ tháo mũi",Khám bệnh-RHM,
"06 regu oxy gắn bình, 02 regu vaccum",Cấp cứu-CC sản,
"06 tạp dề bảo vệt tia X, 01 giáp cổ chắn tia",CĐHA,
"07 capture card,07 dây hdmi 5m, 17 đầu dvi-hdmi",Khám bệnh,24070173
07 máy rửa dây nội soi mềm hoàn toàn tự động,NSTH,01-2023 MSDBVTAHCM
"07 regu oxy, 07 regu vaccum kèm bình hút dịch",CDHA,24070120
07 đèn mổ di động,Khám bệnh,014BBNTVH-BVTA
08 Dụng cụ định vị bệnh nhân (Dụng cụ kê đầu hình chữ C),NSTH,105MĐ-BVTA2024
08 MONITOR SÀNG LỌC BỆNH NHÂN 4 THÔNG SỐ V100 ,Khám bệnh,2812-22022VMPP-TA
08 Tủ đầu giường- 02 Ghế extrabed (Tân bình chuyển qua),Cấp cứu-Daycare,
08 máy đo huyết áp tự động TM-2657PAND,Khám bệnh,
"08 tủ đầu giường, 02 extrabed",Cấp cứu-Daycare,
08 đèn khám tai Ri-Scope L,Khám bệnh,
"09 Huyết áp HEM-8712 ,11 SpO2 PO30",Khám bệnh,24080432
"09 bình hút dịch, 18 đuôi chuột, 09 part bình hút dịch, 09 vaccum gắn tường",Khám bệnh,
09 ghế khám sản phụ khoa đa năng,Khám bệnh-Khám sản,72MĐ-BVTA2024
"09 máy in phim Trimax TX55, 6 máy in phim laser Aermei AMV",CĐHA,240716BBBG-IMED-BVIA
10 Băng ca,NSTH,
10 bao đo huyết áp HEM-RML31,Khám bệnh,24090316
"10 máy truyền dịch, 03 bơm tiêm điện, 20 regu oxy tường, 05 regu vaccum, 05 bình hút dịch 1.5L, 03 máy thử đường huyết, 01 máy điện tim 6 kênh",Cấp cứu,24040334
11 usb lan 2.0,Khám bệnh,2407025
"11 Đèn khám treo trán, nguồn, pin",Khám bệnh-TMH,Chưa có số
"11 đèn khám bệnh treo trán, 11 nguồn pin BT-410, 11 nguồn sạc",Khám bệnh,
"12 bình oxy, xe đẩy, regu",Khám bệnh,
12 Đuôi chuột (Cho mượn),Cấp cứu,
"13 Giường 3 động cơ, 13 cọc, 04 Bàn ăn, 08 tủ đầu giường, 10 băng ca kèm cọc",Cấp cứu,
15 Máy thử đường huyết Roche,Khám bệnh,24040245
15 cân đo sức khỏe Charder MS4980,Khám bệnh,28.052024HĐ.TAHCM-PV
17 mor và 2 xe đẩy,Tân Bình-Q7,
"19 ẩm kế cơ, 04 ẩm kế điện, 03 đèn gù, 05 rung âm thoa, 05 búa thử phản xạ, 14 búa phản xạ, 04 đèn pin bỏ túi, 02 đuôi chuột, 02 nhiệt kế hồng ngoại, 05 regu bình",Khám bệnh,2HĐMB-24AP-TA
20 Monitor B125,NSTH,
"20 Monitor B125, 20 part gắn",Cấp cứu,2812-22022VMPP-TA
20 bộ Regu air,Cấp cứu,24040441
20 đèn đọc phim,01.2024,Phúc Anh
21 bình hút dịch,NSTH,HĐ05.KD83-24
"24 regu gắn tường, 10 air gắn tường, 08 vaccum gắn tường",Khám bệnh,
28 băng ca ALK06-H800,Khám bệnh,1.482024
28 xe lăn,CSKH,24070522
"30 bộ Regu Oxy, 03 bộ regu air",Cấp cứu,24040441
"30 part gắn bình hút dịch, 20 đuôi chuột",NSTH,
"30 regu vaccum, 30 bình hút dịch, 38 regu oxy gắn tường",NSTH,
30 vaccum regu,Cấp cứu,
32 băng ca cứu thương,NSTH,
4 mor B125,TB-Q7,
40 giường chuyển bệnh nhân HL-A412A,Cấp cứu,0104HĐ2024
57 liều kế TLD,CĐHA,17424HĐKT-AdTech-BBBG
"61 máy ha Hem-8712, 180 ống yamasu, 61 spo2 PO30, 74 nk hồng ngoại, 04 nk MT550, 09 ha yamasu nhỏ, 38 ha yamasu lớn, 01 duplex nhỏ, 06 xe lăn, 05 búa px, 12 cân tiểu ly",Khám bệnh,20.052024HĐ.TAHCM-PV
90 đèn đọc phim,Khám bệnh,0212024PA-BVTATPHCM
BBBG,RO NSTH,Nhất An Sinh
BGNB, màn hinh ,IT
"Bao bọc phim 300 size 2, 300 size 0",CĐHA,
Bao đo huyết áp loại B,Khám bệnh,24090316
Bao đo huyết áp loại B,Khám bệnh,24090316 (2)
Bàn giao chiakhoaphongchiller MRI,CĐHA,
Bàn giao hệ thống RO,TB,Đào Xuân Đang
Bàn nghiêng Bailey,Khám bệnh-Tim mạch,2902ĐVT-TAHĐMB
Bàn tiểu phẫu (chuyển từ Tân Bình),Khám bệnh-Nhãn khoa,
"Bàn, ghế, máy đo âm ốc tai OAE",Khám bệnh-TMH,02425HĐKTDWHCM-TA
Bồn rửa tay khu thủ thuật,Cấp cứu-Thủ thuật,70624TA-TL
Capture CM410,Khám bệnh,24070527
Cho mượn 05 băng ca,NSTH,
Cho mượn MÁY ĐIỀU TRỊ DA BẰNG LASER Q- SWITCHED,Q7-TB,
Demo,máy giảm mỡ bằng cơ chế quang đông  13.11.2024,0001
"Giao lại Nhiệt kế điện tử HTC2, nhiệt ẩm kế cơ",Khám bệnh,
Giường siêu âm tim gắng sức,Khám bệnh-Tim mạch,01.2024BVTA-HCVN
"HT điện tim gắng sức ko thảm, ht điện tim gắng sức gồm thảm lăn",Khám bệnh-Tim mạch,22032024GM-BVĐKTA
HỆ THỐNG CHỤP CẮT LỚP VI TÍNH 32 LÁT CÁT,CĐHA,059232023HĐMBTAHCM-VT
HỆ THỐNG CHỤP CẮT LỚP VI TỈNH 128 LÁT CẮT,CĐHA,059232023HĐMBTAHCM-VT
HỆ THỐNG X-QUANG CHỤP VÚ KỸ THUẬT SỐ DRTECH RMF-2000,CĐHA,(Máy từ Tân Bình qua)
HỆ THỐNG X-QUANG CHỤP VÚ KỸ THUẬT SỐ DRTECH RMF-2000,CĐHA,02-032023TAHCM
Hệ thống Nội soi bàng quan,Khám bệnh,0938HD-ECOTA
Hệ thống Nội soi phế quản,Cấp cứu-Thủ thuật,10.24.HĐKT.LENUS-TAMANH
Hệ thống X-quang kỹ thuật số cố định 500MA,CĐHA,012HDIMED-TA 12023
Hệ thống X-quang kỹ thuật số cố định 500MA,CĐHA,012HDIMED-TA 12023 (2)
Hệ thống cấp nước RO dùng cho thận nhân tạo,NSTH,24050211
Hệ thống khám Tai mũi họng Telecam C3,Khám bệnh-TMH,0212024HĐKTTP-BVTAHCM
Hệ thống tiền đình,Khám bệnh-TMH,0824HĐMBQĐ-TA
Kính lúp đội đầu OptiVISOR,Khám bệnh-Nhãn khoa,24090082
"Kính soi góc, bảng thử mù màu, sinh hiển vi, máy chụp màu đáy mắt, hộp thử kính, đo khúc xạ, đo nhãn áp, thử thị lực, nahnx áp kế, kính volk",Khám bệnh-Nhãn khoa,28082024HĐMBTAHCM-TTC
Lọc RO công nghiệp cho thủ thuật,Cấp cứu-Thủ thuật,24070121
MRI 1.5T,CĐHA,HD-2400920
"MRI 1.5T, bơm tiêm thuốc đối quang từ",CĐHA,HD-2400920
MRI 3T,CĐHA,059232023HĐMBTAHCM-VT
MRI Megnetom Sempra 1.5T,CĐHA,045.S.001HĐKTIMED-TAMANH24
Màn hình máy tính,Khám bệnh-Tim mạch,22032024GM-BVĐKTA
Máy Chẩn Đoán Vi Khuẩn Helicobacter Pylori,NSTH,
Máy chụp nhũ ảnh KTS 3D,CĐHA,09032023HĐMBATC-TАНСМ
Máy dao mổ điện cao tần,Khám bệnh-Nhãn khoa,09.22024HDMBCMC-TA
Máy gây mê kèm thở CS620,Q8-Q7,
"Máy hàn túi, băng chuyền",KSNK,24090286
Máy hút dịch chân không di động DF 506L,CĐHA,
Máy in màu Epson,Khám bệnh-Khám sản,
Máy phun khí dung NE-C900,Khám bệnh,24070622
Máy phá rung tim TEC-5621,Khám bệnh ,(điều chuyển từ cấp cứu sang khám bệnh)
Máy rửa quả lọc,Cấp cứu-TNT,
Máy rửa quả lọc,Cấp cứu-TNT,012024TAMANH-ANHNGOC
Máy siêu âm 4D cao cấp Hera W10,Khám bệnh- Y học bào thai,20.2024HĐ
Máy siêu âm Voluson Expert 22,CĐHA,
Máy siêu âm Voluson S8-BT16,Cấp cứu,
Máy siêu âm chuyên tim 4D Vivid S70N ,Khám bệnh-Tim mạch,06HĐMBTD-TAHCM2023
Máy siêu âm chuyên tim 4D Vivid S70N ,Khám bệnh-Tim mạch,06HĐMBTD-TAHCM2023 (2)
Máy siêu âm chuyên tim 4D Vivid S70N ,Khám bệnh-Tim mạch,06HĐMBTD-TAHCM2023 (3)
Máy siêu âm màu Volusion P6,Khám bệnh-Khám sản,02HĐMBTD-TAHCM2024
Máy siêu âm tim 4D Vivid E95 ,Khám bệnh-Tim mạch,06HĐMBTD-TAHCM2023
Máy siêu âm tim 4D Vivid E95 ,Khám bệnh-Tim mạch,06HĐMBTD-TAHCM2023 (2)
Máy sốc tim TEC 5621,Cấp cứu,24040334
Máy áp lạnh sản khoa,Khám bệnh-Khám sản,69YN-TA24
"Máy điện cơ chuyên sâu với bộ khuếch đại 12 kênh, máy điện não 32 kênh",Khám bệnh-Nội thần kinh,432024HĐMB.VV-TA
Máy đo chức năng hô hấp (Hệ thống đo nồng độ NO trong khí thở ra FeNO),Khám bệnh-Nội tổng hợp,052523-HĐMBNEWTECH-BVTA
Máy đo mật độ khoáng xương,CĐHA,01HĐMBTD-TAHCM2024
Máy đo mật độ khoáng xương,CĐHA,01HĐMBTD-TAHCM2024 (2)
"Máy đo nhĩ lượng, thính lực Rion",Khám bệnh-TMH,chưa có số
Máy đo vàng da JM-105,Khám bệnh,02.2024HĐMBFYV-TA.HCM
Nồi hấp VSC-60L,KSNK,24080568 (Điều chuyển từ Khám bệnh)
RO NSTH,Q7,Tân Bình
Scan,máy holterdemo,CTY định giang
"Sinh hiển vi, bảng thử thị lực, kính volk",Khám bệnh-Nhãn khoa,28082024HĐMBTAHCM-TTC
Siêu âm 4D Expert 22,Khám bệnh- Y học bào thai,06HĐMBTD-TAHCM2024
Siêu âm màu Voluson P8,Khám bệnh-IVF,0509HĐMBHTC-TAHCM2024
"Súng hơi, co ren nối",KSNK,24090286
Thiết bị lọc nước trực tiếp cho ghế nha,Khám bệnh,24070275
Thu hồi 10 băng ca,Cấp cứu,
Thu hồi bàn giao máy điều trị laser, Việt can,25.11.24
Thu hồi bộ máy tính,Khám bệnh-Khám sản,22052024TAMPT
"Thu hồi bộ máy tính, máu in màu",Khám bệnh-Khám sản,
Thu hồi hệ thống Nội soi bàng quang,Thiên Phúc,0282024HĐMBTP-BVTAHCM
"Thu hồi ổ cắm, bộ máy vi tính",Khám bệnh-Khám sản,
"Thu hồi ổ cắm, bộ máy vi tính Expert 22",Khám bệnh- Y học bào thai,
Thước đo kẹp mỡ,Khám bệnh-Béo phì,24080555
Tấm chắn băng ca, Q7-TB,03.11.24
UPS6KVA,Xét nghiệm,Thu hồi từ CDHA
Xe đạp-Bảng điều khiển,TTBP-NT,18092024HDKTBVTAHCM
Xe đẩy Monitor cho mượn,Cấp cứu,
"Xe đẩy, tay cần, (Bỏ bơm tiêm điện)",Khám bệnh-Tim mạch,23100103
"bàn giao bàn thủ thuật, xe inox tắm bé",Q8-Q7,
"bàn giao bàn thủ thuật, xe inox tắm bé",Q8-Q7, (2)
Điều chuyển máy siêu âm S8-BT16 (từ TA Hà Nội),Cấp cứu,17102024BVTATTB
Điều chuyển nồi hấp VSC-60L,KSNH,Khám bệnh
Điều chuyển nồi hấp VSC-60L,KSNH,Khám bệnh
Đèn khám TMH,Khám bệnh-nhãn khoa,24090082
Đầu dò CC41R, demo,CĐHA
Đầu giữ ống soi hàng tặng,Khám bệnh-TMH,Chưa có số
"Đầu nối DVI sang HDMI, capture, dây hdmi",Khám bệnh-TMH,chưa có số
điện tim 12 cần,Khám bệnh-Tim mạch,58YS-BVTA2023
